raw,alder,helbred,druk,underudd,køn,boralene,udd,blob
.4376452,75,3,,2,2,0,2,.41094425
.58580053,48,2,5,2,2,0,4,.39149892
.37870923,67,3,4,2,1,0,2,.17495278
.68806034,45,3,,,1,0,,.75798434
.9794578,63,2,4,2,2,0,4,.91879791
.67019367,52,3,4,2,2,0,4,.77355337
.59488082,54,3,4,2,2,0,6,.84357423
.79708928,57,3,,2,2,0,4,.049373236
.78358531,46,2,5,2,2,0,6,.38993406
.65463418,55,2,5,2,2,0,6,.46882927
.096889071,22,1,,,1,0,,.48323157
.68850589,60,4,,,1,0,,.61731821
.87249601,89,3,,2,1,0,2,.33000359
.52963525,46,2,3,,1,0,,.70957464
.83022094,44,3,4,2,1,0,4,.69983256
.93398529,21,3,,,1,0,,.48033983
.17498912,35,3,3,2,2,0,6,.58505923
.55361712,55,3,,2,2,0,2,.3569119
.53461522,60,3,4,,1,0,,.37113687
.77677935,65,3,,2,2,0,2,.39557433
.1288747,66,3,4,2,1,0,4,.48806614
.27751842,71,3,4,2,1,0,4,.37234041
.42420161,75,3,5,2,2,0,2,.12935089
.13590056,64,3,4,2,2,0,2,.52868217
.33256239,80,3,,2,2,0,2,.64804399
.46755227,22,2,,,1,0,,.63358086
.51608807,29,2,,,1,0,,.68157339
.066943049,31,2,,,1,0,,.80982441
.072296381,44,2,4,,1,0,,.086508542
.68174654,38,2,4,2,2,0,4,.96991372
.088049531,47,2,4,2,1,1,4,.22927357
.13270818,47,2,4,2,1,0,6,.67926943
.87458158,47,2,3,,1,0,,.10830376
.24688768,52,2,,2,2,0,2,.13860764
.043254998,57,2,,,1,0,,.20484032
.37644368,53,2,4,2,2,0,6,.28311095
.76778615,76,2,,2,1,0,4,.57979798
.75513661,67,2,,,1,0,,.56587869
.44761884,68,2,3,2,1,0,2,.77212918
.40871048,71,2,5,2,2,1,6,.88466352
.29777426,23,1,4,1,2,0,1,.20955855
.67941773,31,1,2,2,2,0,5,.19335802
.7124024,69,1,4,2,1,0,6,.22936848
.56622654,87,3,3,2,1,1,7,.91411811
.17783248,36,3,4,2,2,0,3,.32110485
.11399896,63,3,4,2,2,0,4,.41236421
.5955869,78,5,4,2,2,0,2,.81761706
.6251604,67,4,,2,2,0,2,.87988538
.63489896,73,3,,2,2,1,,.86114806
.99445724,61,3,5,2,2,0,4,.21071349
.74976772,83,4,,2,2,1,,.58576822
.17367882,86,3,,2,2,0,4,.24743485
.61077046,62,2,4,2,2,0,6,.84071016
.57542151,61,2,4,2,2,0,4,.20084794
.36781612,35,3,,2,2,0,6,.40267318
.30052456,46,3,,2,2,0,2,.76916248
.0075380234,75,3,4,2,2,0,5,.99328041
.67013687,52,2,,2,2,0,2,.79444319
.42414057,28,3,,,2,0,,.84357911
.95376223,75,3,5,2,2,0,2,.54143322
.08674778,80,3,,,2,0,2,.38301802
.89496481,22,2,3,1,1,0,1,.17408969
.5890286,26,2,4,2,2,0,7,.55405468
.40058318,85,3,4,2,1,1,4,.30081415
.66549015,77,3,5,2,2,1,,.81219333
.41983864,80,3,4,2,1,1,6,.74842626
.74720538,81,3,4,2,1,1,4,.58662438
.71901435,38,3,4,2,1,0,4,.61240321
.84646469,74,3,4,2,1,1,5,.16378754
.79083127,66,3,,,2,0,,.66090441
.19002222,76,3,,2,2,0,,.90210164
.38696039,18,3,,1,1,0,1,.11577288
.23871335,20,3,3,1,1,0,1,.98008955
.34470016,66,3,4,2,1,0,6,.41072792
.7795682,59,3,5,2,2,0,4,.11206346
.74843955,69,3,3,2,1,0,4,.33951885
.23037836,75,3,4,2,2,1,,.80873817
.16770323,67,3,5,2,2,0,,.28438434
.91805083,21,2,4,2,1,0,5,.28155008
.31389961,75,3,,,2,1,2,.77217692
.90191412,47,2,5,2,1,0,6,.7789138
.07740517,93,3,,2,1,0,2,.04698867
.63413823,64,3,,2,2,0,4,.13914262
.81472951,17,1,,1,2,0,1,.47409832
.87889218,41,2,4,,2,0,,.66906065
.025993519,36,3,4,2,1,0,4,.58758456
.17993002,54,3,4,2,2,0,4,.92335081
.57788956,55,3,4,2,2,0,2,.86288142
.40814152,69,3,,,1,0,,.18986136
.6155495,80,4,,2,2,1,4,.84157068
.17457695,67,3,,2,2,1,,.55273795
.36176464,18,2,,,1,0,,.17765513
.1338996,18,2,3,1,1,0,1,.39153805
.0013630959,19,2,3,1,2,0,1,.43120638
.25710005,19,2,3,1,2,1,1,.73218077
.65174168,38,2,4,2,2,0,4,.59684658
.92520809,39,2,,2,2,0,6,.036276348
.82333666,54,2,,,1,0,,.27721685
.92294019,66,2,4,2,2,0,2,.95594281
.74804264,74,4,,2,2,1,2,.86319584
.52141476,17,1,,1,1,0,1,.69049221
.40221512,35,1,4,2,2,0,4,.84782362
.86819887,56,1,,,1,0,,.97131282
.27266049,66,4,,2,2,1,2,.60808426
.72394723,62,4,4,2,2,0,4,.64896625
.79554641,71,3,5,2,2,0,,.67121744
.89250743,73,3,4,2,1,1,,.28032991
.70787907,86,3,5,2,2,1,6,.017326223
.36526898,88,3,,2,2,1,2,.22145329
.93104994,81,4,,2,2,1,6,.038985822
.62168086,17,1,3,,1,0,,.23893932
.80043542,66,3,4,2,2,1,2,.53471798
.47983721,48,3,4,2,2,0,4,.53189307
.14294797,82,3,4,2,2,1,2,.22496636
.8343448,49,4,,,1,0,,.17077194
.34312508,67,4,5,2,2,0,,.69515347
.59068668,74,2,2,2,2,0,,.60897017
.32953,45,3,4,2,2,0,4,.093948878
.69962949,75,3,4,2,2,1,4,.32325041
.8142969,56,4,4,2,2,0,4,.29234141
.34297264,78,2,5,2,1,1,4,.50247997
.10796808,42,3,4,2,2,0,5,.68848467
.96717429,85,4,,2,2,1,7,.96361166
.1285523,17,2,3,1,1,1,1,.74585962
.75785357,47,2,3,2,1,0,4,.075331986
.25002995,80,2,4,2,1,0,4,.76329505
.9269138,34,2,4,2,2,0,6,.55726099
.71184307,30,1,3,2,2,1,6,.34378493
.17967154,70,1,4,2,1,1,6,.14688589
.45065185,71,4,3,2,1,0,2,.74185461
.19460681,61,3,4,2,1,0,4,.91338843
.71357405,18,2,3,1,1,0,1,.84278303
.24531136,16,2,3,1,2,0,1,.3431389
.76724559,17,2,,1,2,0,1,.4388701
.36535567,40,2,,,2,0,,.53139007
.27069142,48,2,5,2,2,0,4,.39819551
.99113184,66,3,,2,2,0,2,.4045217
.68512976,22,2,4,2,1,0,4,.76998734
.50276679,38,3,2,2,1,1,4,.3835566
.69038182,42,1,4,2,2,0,4,.4327344
.86360121,66,3,4,2,2,0,6,.55255753
.040463302,80,3,4,2,1,0,2,.98926514
.18422191,77,3,5,2,2,0,2,.14291942
.41988069,93,3,,2,2,1,,.46089405
.64754987,73,3,1,2,1,0,5,.23113972
.9103145,33,2,,,1,0,,.90313333
.68092209,57,2,3,2,2,0,5,.47549275
.85688269,68,2,4,2,2,0,4,.31939059
.064201787,38,2,2,2,1,0,6,.94066274
.83906645,53,3,3,2,2,0,5,.78219026
.62082022,73,3,4,2,1,0,4,.23205614
.40417561,76,3,,2,2,0,2,.18471076
.97863662,60,2,5,2,2,0,7,.51819962
.36276805,76,3,,2,2,1,6,.595164
.31382445,34,3,3,2,2,0,4,.54687476
.63807124,61,3,4,2,2,0,4,.33158341
.18699375,60,3,4,2,2,1,2,.75431961
.50534767,87,2,5,2,1,0,,.53152657
.52763051,73,1,5,2,1,0,5,.34819764
.78534144,72,3,4,2,2,0,4,.078407355
.47173378,64,3,4,2,2,0,4,.63967019
.22998421,69,1,,2,2,1,4,.86247045
.79768276,40,4,,,1,0,,.28670731
.16493952,69,3,4,2,2,1,,.77465093
.93294495,49,3,5,2,2,0,4,.018507786
.39993149,67,3,,2,2,1,2,.1901329
.9881987,52,3,4,2,1,1,2,.68065238
.92878562,58,3,4,2,2,0,4,.5426113
.66403782,77,4,,2,2,0,2,.11851896
.036803816,55,4,,2,2,0,4,.87946373
.33364984,22,3,4,,2,0,,.84603059
.78242952,87,3,4,2,2,1,4,.43121144
.01700492,53,3,2,,1,0,,.24652871
.22782041,61,3,4,2,2,0,2,.14570044
.57824653,91,3,5,,1,1,,.90985143
.7533595,32,2,,2,2,0,4,.98948473
.85700721,52,2,2,2,1,1,4,.58426088
.93227464,98,4,,2,2,1,,.17381795
.32444698,69,3,4,2,1,1,2,.48760101
.16377111,25,2,4,1,2,0,1,.064965427
.95820099,37,2,4,2,1,0,,.43036819
.60086083,45,2,5,2,2,0,6,.23835135
.9733476,80,2,5,2,2,1,,.60041487
.23638271,20,2,2,1,1,0,1,.37389231
.67647856,18,2,4,1,2,0,1,.25947702
.14591032,42,2,4,2,2,0,4,.89444178
.29664016,53,2,2,2,2,0,6,.79883689
.8219558,31,2,4,1,2,0,1,.55102801
.3213928,20,1,,,1,0,,.13046271
.4164997,51,3,,2,2,0,4,.26398703
.023696393,18,2,,,1,0,,.62659705
.31254044,37,1,4,,2,0,,.43429035
.93226188,73,5,,2,2,0,,.67291069
.050204601,84,3,5,2,2,1,5,.98650646
.62218922,25,2,4,1,2,1,1,.12980045
.61891145,69,3,,,2,0,2,.82194334
.90289438,32,3,4,2,1,0,4,.65284693
.38305792,44,3,,,1,0,,.21690848
.35137045,52,3,5,2,2,1,6,.28320521
.69784951,62,3,4,2,1,0,,.65350288
.78281254,50,4,5,2,2,0,4,.37264925
.83125645,78,4,,2,2,0,2,.031406019
.84981048,17,2,3,1,1,0,1,.45811853
.99975073,16,2,,,2,0,,.9262439
.091394514,29,2,,,1,0,,.70556206
.63069588,39,2,2,1,1,0,1,.77347863
.076128855,40,2,,,2,0,,.296832
.34577623,45,2,4,2,1,0,2,.42704436
.09631826,20,1,,1,1,0,1,.40468326
.54500425,17,1,3,1,1,0,1,.93863279
.80781019,19,1,3,1,1,0,1,.94060117
.11869691,85,2,5,2,2,1,4,.39199042
.27231389,50,4,,2,2,0,6,.70405728
.43175596,40,2,4,2,2,0,4,.0033563487
.79706073,73,3,,2,2,1,,.23803987
.58241123,40,2,3,2,1,0,4,.076410793
.11611979,34,3,,2,2,1,4,.55958658
.74225098,19,3,3,1,2,0,1,.61955363
.26177752,55,3,,,1,0,,.40069154
.80698615,72,2,3,2,2,0,2,.77714378
.66739798,82,3,,2,2,0,2,.11268259
.2427153,71,2,5,2,2,1,2,.0053337882
.62915105,79,4,,2,1,0,1,.99138373
.53290236,58,2,3,2,1,0,4,.48149145
.72759014,52,3,4,2,2,0,4,.61149704
.6358732,47,4,,,2,0,,.082676321
.30897725,68,3,2,2,1,1,6,.84644729
.031594325,65,2,1,2,2,0,6,.36300454
.76752055,51,3,4,2,1,0,4,.75127125
.78265041,27,2,4,2,1,0,5,.35600165
.40328324,86,3,5,2,1,0,2,.056787673
.2183805,82,3,,2,2,1,2,.58038932
.65437996,70,3,4,2,1,1,4,.86913538
.62493837,71,5,,,2,1,,.68765455
.65313381,39,2,,,2,0,,.33724415
.87177563,48,3,4,2,1,0,4,.92663527
.32287887,64,3,5,2,2,1,4,.11391738
.79299837,72,3,2,2,1,0,5,.57970029
.89054096,67,3,5,2,1,1,6,.12183236
.58506513,32,2,,,1,0,,.10407378
.16509147,19,1,3,1,2,0,1,.66234589
.21370257,82,3,4,2,2,0,2,.31420204
.75403363,89,5,,,2,0,,.11089098
.48790219,41,4,,,1,0,,.34784392
.78476101,84,3,4,2,2,1,6,.075190887
.35919839,19,3,2,1,2,0,1,.03447127
.27472454,37,2,4,2,2,0,4,.72834843
.35986549,52,3,4,2,2,0,6,.13942344
.40990213,66,3,,2,2,0,2,.75803536
.74529016,78,3,4,2,1,0,5,.31075323
.64890456,66,3,4,2,2,0,2,.6661911
.024716996,78,3,3,2,1,1,2,.49821213
.8951959,51,5,5,2,2,0,4,.74962336
.30256706,83,4,,2,2,1,2,.062992617
.90940088,19,2,,,1,0,,.11039037
.1980502,53,3,5,2,2,1,2,.031806003
.93962812,76,3,5,2,2,0,4,.089269236
.97960019,90,4,5,2,2,1,,.69856524
.019446915,85,3,5,2,2,1,2,.8294732
.6482321,74,3,,2,2,0,2,.74746317
.44841868,27,2,4,2,1,1,4,.72697616
.68403286,67,2,,2,2,0,6,.74194133
.17468606,20,2,2,,1,0,,.96439898
.075176522,28,3,,,2,0,,.45043606
.25289148,40,2,,2,2,0,6,.94883412
.098340824,43,3,,,1,0,,.53990394
.51919395,74,3,,2,2,1,2,.33062729
.24395096,84,3,4,2,2,0,2,.94190419
.76116318,54,2,4,2,2,1,6,.79790497
.48342595,82,3,,2,2,1,,.70918769
.48424527,78,2,,2,2,0,4,.30768949
.47314665,37,3,3,2,1,0,,.85879326
.71081221,42,2,3,2,1,0,4,.036254007
.14951538,54,4,5,2,1,0,6,.89876074
.9263857,49,4,,2,2,0,,.90854388
